                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                0.23445,                0.20118,                0.82644,                0.79503,                0.82523,                0.84661,                 0.8013,                0.33105,                  0.605,                0.83842,             0.00041242,             0.00041242,             0.00041242
                    155,                0.23678,                0.19721,                 0.8291,                0.85267,                0.79536,                0.85933,                0.81291,                0.33462,                0.59373,                0.83452,             0.00040967,             0.00040967,             0.00040967
                    156,                0.23807,                 0.2044,                0.82864,                0.83708,                0.80327,                 0.8767,                 0.8273,                0.33763,                0.55905,                0.83229,             0.00040692,             0.00040692,             0.00040692
                    157,                0.23951,                0.20566,                0.82789,                0.84243,                0.80356,                0.88795,                0.84024,                0.33728,                0.53258,                0.83736,             0.00040417,             0.00040417,             0.00040417
                    158,                0.23118,                0.19929,                0.82795,                0.81186,                0.82635,                0.86599,                0.81831,                0.33548,                0.57175,                0.83504,             0.00040142,             0.00040142,             0.00040142
                    159,                0.22705,                0.19551,                0.82774,                0.84504,                 0.8069,                0.87147,                0.82293,                0.33626,                0.57113,                0.84168,             0.00039867,             0.00039867,             0.00039867
                    160,                0.22849,                0.19959,                0.83033,                0.85032,                0.78174,                0.87332,                0.82113,                0.35433,                0.57691,                0.85452,             0.00039592,             0.00039592,             0.00039592
                    161,                0.23186,                0.20037,                0.82825,                0.85701,                0.77419,                 0.8701,                0.81966,                0.34676,                0.56505,                0.84511,             0.00039318,             0.00039318,             0.00039318
                    162,                0.23372,                0.20059,                0.82832,                0.86692,                0.78649,                0.88013,                0.83356,                0.33422,                0.54655,                0.83845,             0.00039043,             0.00039043,             0.00039043
                    163,                0.22481,                0.19205,                0.82709,                0.82941,                0.82373,                0.86112,                0.81642,                0.33904,                0.57338,                0.83678,             0.00038768,             0.00038768,             0.00038768
                    164,                0.22565,                0.19166,                0.82677,                0.84247,                0.82662,                0.87306,                0.82519,                0.34486,                0.54112,                0.83958,             0.00038493,             0.00038493,             0.00038493
                    165,                0.22535,                0.19553,                0.82481,                 0.8362,                0.77545,                 0.8436,                0.79597,                0.34919,                0.59558,                0.84324,             0.00038218,             0.00038218,             0.00038218
                    166,                0.22346,                0.18965,                0.82823,                0.79704,                0.82701,                0.83858,                0.79959,                0.33978,                0.58064,                0.84085,             0.00037943,             0.00037943,             0.00037943
                    167,                0.22635,                 0.1932,                0.83091,                0.85874,                0.77387,                0.85495,                0.81174,                0.33799,                 0.5756,                0.83946,             0.00037668,             0.00037668,             0.00037668
                    168,                0.22491,                0.19062,                0.82799,                0.79906,                0.83206,                0.85304,                  0.808,                0.33843,                0.58326,                0.84183,             0.00037393,             0.00037393,             0.00037393
                    169,                0.22564,                0.18751,                0.82856,                0.79848,                 0.8289,                0.83622,                0.79175,                0.33483,                0.60917,                0.84229,             0.00037118,             0.00037118,             0.00037118
                    170,                0.22565,                0.19107,                0.82649,                0.84074,                0.81018,                0.86732,                0.82108,                0.33528,                0.55632,                 0.8407,             0.00036844,             0.00036844,             0.00036844
                    171,                0.22255,                0.18836,                0.82705,                0.81916,                0.81905,                0.86884,                0.81999,                 0.3427,                0.56378,                0.84141,             0.00036569,             0.00036569,             0.00036569
                    172,                0.22163,                0.18358,                0.82274,                0.81887,                0.83883,                0.87854,                0.83134,                0.34095,                0.51508,                0.84218,             0.00036294,             0.00036294,             0.00036294
                    173,                0.22466,                0.19347,                0.83001,                 0.8293,                0.80004,                0.86893,                0.82097,                0.33899,                0.58917,                0.84212,             0.00036019,             0.00036019,             0.00036019
                    174,                0.22131,                0.18531,                0.82421,                 0.7896,                0.81364,                0.85167,                0.80799,                0.33872,                0.60924,                0.84151,             0.00035744,             0.00035744,             0.00035744
                    175,                0.22381,                0.18844,                0.82609,                0.83739,                0.79682,                0.86083,                0.81599,                0.33995,                0.57134,                0.84876,             0.00035469,             0.00035469,             0.00035469
                    176,                0.21683,                0.18527,                0.82193,                0.79629,                0.83662,                0.85668,                0.80727,                0.35154,                0.59736,                0.85355,             0.00035194,             0.00035194,             0.00035194
                    177,                0.21788,                0.19463,                0.82813,                 0.7727,                0.82163,                0.84439,                0.80172,                0.33999,                0.61979,                0.84538,             0.00034919,             0.00034919,             0.00034919
                    178,                0.21673,                0.18308,                0.82293,                0.78415,                0.82689,                0.82444,                0.77987,                0.34165,                0.64176,                0.84544,             0.00034644,             0.00034644,             0.00034644
                    179,                 0.2181,                0.18481,                0.82351,                0.81724,                 0.8187,                0.86745,                0.81738,                0.34905,                0.57342,                0.84782,              0.0003437,              0.0003437,              0.0003437
                    180,                0.21941,                0.18073,                0.82361,                 0.8436,                0.80032,                0.85404,                0.80321,                0.34813,                0.59197,                 0.8497,             0.00034095,             0.00034095,             0.00034095
                    181,                0.21498,                0.18242,                0.82933,                0.83245,                0.80473,                 0.8649,                0.81867,                0.34757,                 0.5706,                0.85007,              0.0003382,              0.0003382,              0.0003382
                    182,                0.21664,                0.18221,                0.82282,                0.82032,                0.80327,                0.85449,                0.80688,                0.34046,                0.59435,                0.84611,             0.00033545,             0.00033545,             0.00033545
                    183,                0.21624,                0.18239,                0.82552,                0.83929,                0.79542,                0.85415,                0.80768,                0.33841,                0.57705,                 0.8474,              0.0003327,              0.0003327,              0.0003327
                    184,                0.21339,                0.17954,                 0.8268,                0.82178,                0.80344,                0.85654,                0.81091,                0.34109,                0.60462,                0.84871,             0.00032995,             0.00032995,             0.00032995
                    185,                 0.2124,                0.18213,                 0.8268,                0.77617,                0.84354,                0.83555,                0.79161,                0.33505,                0.60811,                0.84448,              0.0003272,              0.0003272,              0.0003272
                    186,                0.21303,                 0.1812,                0.82615,                0.81245,                0.81454,                0.85776,                0.81019,                0.34198,                0.56821,                0.84599,             0.00032445,             0.00032445,             0.00032445
                    187,                0.21302,                0.17658,                0.82187,                  0.815,                0.80048,                0.84882,                 0.8072,                0.33478,                 0.6039,                0.84206,              0.0003217,              0.0003217,              0.0003217
                    188,                0.20899,                0.17661,                0.82363,                0.80708,                0.84401,                0.86801,                0.82207,                0.33467,                0.56296,                0.84746,             0.00031896,             0.00031896,             0.00031896
                    189,                0.21141,                0.18144,                0.82716,                0.83575,                0.79366,                  0.862,                0.81462,                0.33508,                0.60043,                0.84419,             0.00031621,             0.00031621,             0.00031621
                    190,                0.21056,                0.18034,                0.82226,                0.84146,                0.76673,                0.85562,                0.80978,                0.33323,                0.57981,                0.84403,             0.00031346,             0.00031346,             0.00031346
                    191,                0.21033,                0.17449,                0.82356,                0.81394,                0.84294,                 0.8558,                0.80997,                0.33698,                0.57458,                0.84603,             0.00031071,             0.00031071,             0.00031071
                    192,                  0.207,                0.17332,                0.82221,                0.84822,                0.80323,                0.85278,                0.80678,                0.33826,                0.58726,                0.84699,             0.00030796,             0.00030796,             0.00030796
                    193,                0.20862,                0.17649,                 0.8271,                 0.8136,                0.81997,                0.85802,                0.81499,                0.33967,                0.59592,                0.84437,             0.00030521,             0.00030521,             0.00030521
                    194,                 0.2081,                0.17466,                0.82699,                 0.8321,                0.79787,                0.85503,                0.81077,                0.34495,                0.62526,                0.84983,             0.00030246,             0.00030246,             0.00030246
                    195,                0.20472,                0.17222,                  0.825,                0.82766,                0.81384,                0.86206,                0.81773,                0.34026,                0.55503,                 0.8454,             0.00029971,             0.00029971,             0.00029971
