                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.36893,                0.47225,                0.87991,                0.77544,                0.77622,                0.84264,                0.78773,                0.35932,                0.63441,                0.85208,             0.00073679,             0.00073679,             0.00073679
                     37,                0.37663,                0.46357,                0.87479,                0.79087,                0.78634,                 0.8362,                0.78533,                0.36011,                0.63449,                 0.8481,             0.00073404,             0.00073404,             0.00073404
                     38,                0.36878,                0.45666,                0.87308,                0.82027,                0.70382,                0.81654,                0.75573,                0.37714,                 0.6424,                0.84996,             0.00073129,             0.00073129,             0.00073129
                     39,                0.36471,                0.43818,                0.86968,                0.75402,                0.78742,                0.81396,                0.75993,                0.36551,                0.66897,                0.84337,             0.00072854,             0.00072854,             0.00072854
                     40,                0.36567,                0.45573,                0.87336,                0.77637,                0.74365,                0.82476,                 0.7734,                0.35408,                 0.6589,                 0.8403,             0.00072579,             0.00072579,             0.00072579
                     41,                0.36033,                0.44962,                0.87135,                0.76006,                 0.7336,                0.81523,                0.76536,                0.35704,                0.68354,                 0.8493,             0.00072304,             0.00072304,             0.00072304
                     42,                0.36408,                0.42252,                0.86177,                0.78402,                0.72911,                0.80546,                0.75543,                0.34661,                0.65098,                0.84065,              0.0007203,              0.0007203,              0.0007203
                     43,                0.35881,                0.41005,                0.86555,                0.81462,                0.76876,                0.85086,                0.80054,                 0.3398,                0.60034,                 0.8404,             0.00071755,             0.00071755,             0.00071755
                     44,                0.36557,                 0.4025,                0.86562,                0.81256,                 0.7733,                0.82779,                0.77576,                0.35157,                0.62279,                0.84041,              0.0007148,              0.0007148,              0.0007148
                     45,                0.35562,                0.40266,                0.86106,                0.75907,                0.76747,                0.82386,                 0.7704,                0.34745,                0.64868,                0.84269,             0.00071205,             0.00071205,             0.00071205
                     46,                0.35488,                 0.4058,                0.86695,                0.78911,                0.78333,                0.84605,                0.78996,                0.35759,                0.59531,                0.83903,              0.0007093,              0.0007093,              0.0007093
                     47,                0.34778,                0.40315,                0.86742,                0.78459,                  0.767,                 0.8048,                0.74586,                0.36554,                0.73501,                0.84627,             0.00070655,             0.00070655,             0.00070655
                     48,                0.35859,                0.39211,                0.86266,                0.80741,                0.75649,                0.84494,                0.78706,                0.37482,                0.59703,                0.84578,              0.0007038,              0.0007038,              0.0007038
                     49,                 0.3523,                 0.3703,                0.85791,                0.84158,                0.77326,                0.85668,                0.80172,                0.35599,                0.58466,                0.84225,             0.00070105,             0.00070105,             0.00070105
                     50,                 0.3474,                0.37406,                 0.8641,                0.78706,                0.80201,                0.84548,                 0.7923,                0.35545,                0.62004,                0.84529,              0.0006983,              0.0006983,              0.0006983
                     51,                0.33964,                0.36823,                0.85572,                0.84013,                 0.7455,                0.83824,                0.78539,                0.34636,                0.60625,                0.83898,             0.00069556,             0.00069556,             0.00069556
                     52,                0.35125,                0.38145,                0.86792,                0.80217,                0.81312,                0.86518,                0.81056,                0.34909,                0.59912,                0.84278,             0.00069281,             0.00069281,             0.00069281
